cast_gene,129_gene,nod_gene,c3h_gene,mouse_gene
MGP_CASTEiJ_G0019834,MGP_129S1SvImJ_G0020571,MGP_NODShiLtJ_G0020411,MGP_C3HHeJ_G0020320,ENSMUSG00000025870
MGP_CASTEiJ_G0008108,MGP_129S1SvImJ_G0008327,MGP_NODShiLtJ_G0008229,MGP_C3HHeJ_G0008239,ENSMUSG00000106215
MGP_CASTEiJ_G0007113,MGP_129S1SvImJ_G0007292,MGP_NODShiLtJ_G0007214,MGP_C3HHeJ_G0007211,ENSMUSG00000100717
MGP_CASTEiJ_G0006321,MGP_129S1SvImJ_G0006472,MGP_NODShiLtJ_G0006402,MGP_C3HHeJ_G0006388,ENSMUSG00000086096
MGP_CASTEiJ_G0027072,MGP_129S1SvImJ_G0027917,MGP_NODShiLtJ_G0027731,MGP_C3HHeJ_G0027616,ENSMUSG00000037894
MGP_CASTEiJ_G0027796,MGP_129S1SvImJ_G0028666,MGP_NODShiLtJ_G0028472,MGP_C3HHeJ_G0028362,ENSMUSG00000006392
MGP_CASTEiJ_G0028523,MGP_129S1SvImJ_G0029415,MGP_NODShiLtJ_G0029217,MGP_C3HHeJ_G0029113,ENSMUSG00000029145
MGP_CASTEiJ_G0015184,MGP_129S1SvImJ_G0015832,MGP_NODShiLtJ_G0015700,MGP_C3HHeJ_G0015604,ENSMUSG00000025917
MGP_CASTEiJ_G0014619,MGP_129S1SvImJ_G0015306,MGP_NODShiLtJ_G0015174,MGP_C3HHeJ_G0015068,ENSMUSG00000047938
MGP_CASTEiJ_G0020881,MGP_129S1SvImJ_G0021622,MGP_NODShiLtJ_G0021460,MGP_C3HHeJ_G0021364,ENSMUSG00000075486
MGP_CASTEiJ_G0006102,MGP_129S1SvImJ_G0006249,MGP_NODShiLtJ_G0006186,MGP_C3HHeJ_G0006168,ENSMUSG00000097299
MGP_CASTEiJ_G0015907,MGP_129S1SvImJ_G0016560,MGP_NODShiLtJ_G0016432,MGP_C3HHeJ_G0016328,ENSMUSG00000026361
MGP_CASTEiJ_G0004827,MGP_129S1SvImJ_G0004966,MGP_NODShiLtJ_G0004893,MGP_C3HHeJ_G0004878,ENSMUSG00000097540
MGP_CASTEiJ_G0021582,MGP_129S1SvImJ_G0022326,MGP_NODShiLtJ_G0022154,MGP_C3HHeJ_G0022058,ENSMUSG00000037570
MGP_CASTEiJ_G0016266,MGP_129S1SvImJ_G0016922,MGP_NODShiLtJ_G0016791,MGP_C3HHeJ_G0016683,ENSMUSG00000026611
MGP_CASTEiJ_G0029825,MGP_129S1SvImJ_G0030727,MGP_NODShiLtJ_G0030531,MGP_C3HHeJ_G0030421,ENSMUSG00000038388
MGP_CASTEiJ_G0031661,MGP_129S1SvImJ_G0032632,MGP_NODShiLtJ_G0032443,MGP_C3HHeJ_G0032334,ENSMUSG00000073963
MGP_CASTEiJ_G0016055,MGP_129S1SvImJ_G0016709,MGP_NODShiLtJ_G0016579,MGP_C3HHeJ_G0016475,ENSMUSG00000060568
MGP_CASTEiJ_G0015791,MGP_129S1SvImJ_G0016442,MGP_NODShiLtJ_G0016314,MGP_C3HHeJ_G0016211,ENSMUSG00000026417
MGP_CASTEiJ_G0031306,MGP_129S1SvImJ_G0032274,MGP_NODShiLtJ_G0032091,MGP_C3HHeJ_G0031978,ENSMUSG00000063229
MGP_CASTEiJ_G0037950,MGP_129S1SvImJ_G0039175,MGP_NODShiLtJ_G0038927,MGP_C3HHeJ_G0038815,ENSMUSG00000064410
MGP_CASTEiJ_G0018970,MGP_129S1SvImJ_G0019667,MGP_NODShiLtJ_G0019526,MGP_C3HHeJ_G0019415,ENSMUSG00000002996
MGP_CASTEiJ_G0007053,MGP_129S1SvImJ_G0007232,MGP_NODShiLtJ_G0007154,MGP_C3HHeJ_G0007151,ENSMUSG00000097423
MGP_CASTEiJ_G0020279,MGP_129S1SvImJ_G0021020,MGP_NODShiLtJ_G0020854,MGP_C3HHeJ_G0020756,ENSMUSG00000021772
MGP_CASTEiJ_G0027263,MGP_129S1SvImJ_G0028110,MGP_NODShiLtJ_G0027923,MGP_C3HHeJ_G0027809,ENSMUSG00000051056
MGP_CASTEiJ_G0028703,MGP_129S1SvImJ_G0029595,MGP_NODShiLtJ_G0029398,MGP_C3HHeJ_G0029295,ENSMUSG00000092060
MGP_CASTEiJ_G0035769,MGP_129S1SvImJ_G0036916,MGP_NODShiLtJ_G0036689,MGP_C3HHeJ_G0036580,ENSMUSG00000100603
MGP_CASTEiJ_G0018385,MGP_129S1SvImJ_G0019076,MGP_NODShiLtJ_G0018926,MGP_C3HHeJ_G0018831,ENSMUSG00000038013
MGP_CASTEiJ_G0006388,MGP_129S1SvImJ_G0006540,MGP_NODShiLtJ_G0006470,MGP_C3HHeJ_G0006456,ENSMUSG00000101493
MGP_CASTEiJ_G0033997,MGP_129S1SvImJ_G0034993,MGP_NODShiLtJ_G0034790,MGP_C3HHeJ_G0034675,ENSMUSG00000059246
MGP_CASTEiJ_G0033676,MGP_129S1SvImJ_G0034671,MGP_NODShiLtJ_G0034469,MGP_C3HHeJ_G0034353,ENSMUSG00000054360
MGP_CASTEiJ_G0002799,MGP_129S1SvImJ_G0002906,MGP_NODShiLtJ_G0002838,MGP_C3HHeJ_G0002827,ENSMUSG00000086522
MGP_CASTEiJ_G0026962,MGP_129S1SvImJ_G0027805,MGP_NODShiLtJ_G0027620,MGP_C3HHeJ_G0027506,ENSMUSG00000054414
MGP_CASTEiJ_G0037390,MGP_129S1SvImJ_G0038605,MGP_NODShiLtJ_G0038357,MGP_C3HHeJ_G0038244,ENSMUSG00000065126
MGP_CASTEiJ_G0025509,MGP_129S1SvImJ_G0026327,MGP_NODShiLtJ_G0026143,MGP_C3HHeJ_G0026047,ENSMUSG00000074916
MGP_CASTEiJ_G0032038,MGP_129S1SvImJ_G0033011,MGP_NODShiLtJ_G0032819,MGP_C3HHeJ_G0032709,ENSMUSG00000030682
MGP_CASTEiJ_G0029044,MGP_129S1SvImJ_G0029940,MGP_NODShiLtJ_G0029741,MGP_C3HHeJ_G0029636,ENSMUSG00000041930
MGP_CASTEiJ_G0035135,MGP_129S1SvImJ_G0036168,MGP_NODShiLtJ_G0035948,MGP_C3HHeJ_G0035843,ENSMUSG00000025269
MGP_CASTEiJ_G0015187,MGP_129S1SvImJ_G0015835,MGP_NODShiLtJ_G0015703,MGP_C3HHeJ_G0015607,ENSMUSG00000042501
MGP_CASTEiJ_G0026627,MGP_129S1SvImJ_G0027466,MGP_NODShiLtJ_G0027282,MGP_C3HHeJ_G0027181,ENSMUSG00000001018
MGP_CASTEiJ_G0021163,MGP_129S1SvImJ_G0021905,MGP_NODShiLtJ_G0021740,MGP_C3HHeJ_G0021644,ENSMUSG00000036944
MGP_CASTEiJ_G0033103,MGP_129S1SvImJ_G0034092,MGP_NODShiLtJ_G0033894,MGP_C3HHeJ_G0033777,ENSMUSG00000031913
MGP_CASTEiJ_G0023523,MGP_129S1SvImJ_G0024315,MGP_NODShiLtJ_G0024144,MGP_C3HHeJ_G0024048,ENSMUSG00000051678
MGP_CASTEiJ_G0002482,MGP_129S1SvImJ_G0002572,MGP_NODShiLtJ_G0002502,MGP_C3HHeJ_G0002496,ENSMUSG00000076866
MGP_CASTEiJ_G0020721,MGP_129S1SvImJ_G0021462,MGP_NODShiLtJ_G0021302,MGP_C3HHeJ_G0021204,ENSMUSG00000021953
MGP_CASTEiJ_G0033644,MGP_129S1SvImJ_G0034640,MGP_NODShiLtJ_G0034440,MGP_C3HHeJ_G0034323,ENSMUSG00000059106
MGP_CASTEiJ_G0026806,MGP_129S1SvImJ_G0027647,MGP_NODShiLtJ_G0027464,MGP_C3HHeJ_G0027351,ENSMUSG00000027878
MGP_CASTEiJ_G0016938,MGP_129S1SvImJ_G0017606,MGP_NODShiLtJ_G0017469,MGP_C3HHeJ_G0017372,ENSMUSG00000050108
MGP_CASTEiJ_G0018803,MGP_129S1SvImJ_G0019500,MGP_NODShiLtJ_G0019357,MGP_C3HHeJ_G0019249,ENSMUSG00000025386
MGP_CASTEiJ_G0015626,MGP_129S1SvImJ_G0016274,MGP_NODShiLtJ_G0016144,MGP_C3HHeJ_G0016040,ENSMUSG00000090175
MGP_CASTEiJ_G0020707,MGP_129S1SvImJ_G0021448,MGP_NODShiLtJ_G0021288,MGP_C3HHeJ_G0021190,ENSMUSG00000091155
MGP_CASTEiJ_G0020365,MGP_129S1SvImJ_G0021105,MGP_NODShiLtJ_G0020939,MGP_C3HHeJ_G0020840,ENSMUSG00000021948
MGP_CASTEiJ_G0027491,MGP_129S1SvImJ_G0028356,MGP_NODShiLtJ_G0028164,MGP_C3HHeJ_G0028055,ENSMUSG00000028393
MGP_CASTEiJ_G0020635,MGP_129S1SvImJ_G0021373,MGP_NODShiLtJ_G0021210,MGP_C3HHeJ_G0021116,ENSMUSG00000023411
MGP_CASTEiJ_G0037436,MGP_129S1SvImJ_G0038653,MGP_NODShiLtJ_G0038404,MGP_C3HHeJ_G0038292,ENSMUSG00000064938
MGP_CASTEiJ_G0034013,MGP_129S1SvImJ_G0035009,MGP_NODShiLtJ_G0034806,MGP_C3HHeJ_G0034691,ENSMUSG00000092137
MGP_CASTEiJ_G0026087,MGP_129S1SvImJ_G0026911,MGP_NODShiLtJ_G0026729,MGP_C3HHeJ_G0026629,ENSMUSG00000017929
MGP_CASTEiJ_G0023423,MGP_129S1SvImJ_G0024215,MGP_NODShiLtJ_G0024042,MGP_C3HHeJ_G0023948,ENSMUSG00000024260
MGP_CASTEiJ_G0028811,MGP_129S1SvImJ_G0029703,MGP_NODShiLtJ_G0029504,MGP_C3HHeJ_G0029402,ENSMUSG00000090302
MGP_CASTEiJ_G0025959,MGP_129S1SvImJ_G0026780,MGP_NODShiLtJ_G0026600,MGP_C3HHeJ_G0026497,ENSMUSG00000027643
MGP_CASTEiJ_G0005416,MGP_129S1SvImJ_G0005560,MGP_NODShiLtJ_G0005490,MGP_C3HHeJ_G0005473,ENSMUSG00000097775
MGP_CASTEiJ_G0037531,MGP_129S1SvImJ_G0038750,MGP_NODShiLtJ_G0038503,MGP_C3HHeJ_G0038390,ENSMUSG00000077201
MGP_CASTEiJ_G0007079,MGP_129S1SvImJ_G0007258,MGP_NODShiLtJ_G0007180,MGP_C3HHeJ_G0007177,ENSMUSG00000108303
MGP_CASTEiJ_G0019300,MGP_129S1SvImJ_G0020011,MGP_NODShiLtJ_G0019868,MGP_C3HHeJ_G0019754,ENSMUSG00000033713
MGP_CASTEiJ_G0027809,MGP_129S1SvImJ_G0028679,MGP_NODShiLtJ_G0028485,MGP_C3HHeJ_G0028375,ENSMUSG00000070820
MGP_CASTEiJ_G0023013,MGP_129S1SvImJ_G0023806,MGP_NODShiLtJ_G0023630,MGP_C3HHeJ_G0023532,ENSMUSG00000067150
MGP_CASTEiJ_G0024749,MGP_129S1SvImJ_G0025552,MGP_NODShiLtJ_G0025390,MGP_C3HHeJ_G0025287,ENSMUSG00000026785
MGP_CASTEiJ_G0020702,MGP_129S1SvImJ_G0021443,MGP_NODShiLtJ_G0021283,MGP_C3HHeJ_G0021185,ENSMUSG00000046168
MGP_CASTEiJ_G0019914,MGP_129S1SvImJ_G0020650,MGP_NODShiLtJ_G0020490,MGP_C3HHeJ_G0020398,ENSMUSG00000056728
MGP_CASTEiJ_G0023644,MGP_129S1SvImJ_G0024437,MGP_NODShiLtJ_G0024267,MGP_C3HHeJ_G0024170,ENSMUSG00000048799
MGP_CASTEiJ_G0017214,MGP_129S1SvImJ_G0017891,MGP_NODShiLtJ_G0017752,MGP_C3HHeJ_G0017653,ENSMUSG00000025348
MGP_CASTEiJ_G0022543,MGP_129S1SvImJ_G0023316,MGP_NODShiLtJ_G0023135,MGP_C3HHeJ_G0023041,ENSMUSG00000040688
MGP_CASTEiJ_G0015539,MGP_129S1SvImJ_G0016186,MGP_NODShiLtJ_G0016052,MGP_C3HHeJ_G0015955,ENSMUSG00000026207
MGP_CASTEiJ_G0023150,MGP_129S1SvImJ_G0023945,MGP_NODShiLtJ_G0023766,MGP_C3HHeJ_G0023668,ENSMUSG00000002660
MGP_CASTEiJ_G0023981,MGP_129S1SvImJ_G0024775,MGP_NODShiLtJ_G0024603,MGP_C3HHeJ_G0024509,ENSMUSG00000024960
MGP_CASTEiJ_G0028016,MGP_129S1SvImJ_G0028887,MGP_NODShiLtJ_G0028691,MGP_C3HHeJ_G0028583,ENSMUSG00000049649
MGP_CASTEiJ_G0023364,MGP_129S1SvImJ_G0024159,MGP_NODShiLtJ_G0023982,MGP_C3HHeJ_G0023887,ENSMUSG00000057766
MGP_CASTEiJ_G0035980,MGP_129S1SvImJ_G0037128,MGP_NODShiLtJ_G0036900,MGP_C3HHeJ_G0036791,ENSMUSG00000088916
MGP_CASTEiJ_G0020626,MGP_129S1SvImJ_G0021364,MGP_NODShiLtJ_G0021201,MGP_C3HHeJ_G0021107,ENSMUSG00000022218
MGP_CASTEiJ_G0018734,MGP_129S1SvImJ_G0019430,MGP_NODShiLtJ_G0019287,MGP_C3HHeJ_G0019179,ENSMUSG00000061878
MGP_CASTEiJ_G0029667,MGP_129S1SvImJ_G0030569,MGP_NODShiLtJ_G0030377,MGP_C3HHeJ_G0030265,ENSMUSG00000038759
MGP_CASTEiJ_G0037131,MGP_129S1SvImJ_G0038342,MGP_NODShiLtJ_G0038095,MGP_C3HHeJ_G0037987,ENSMUSG00000089470
MGP_CASTEiJ_G0031874,MGP_129S1SvImJ_G0032848,MGP_NODShiLtJ_G0032656,MGP_C3HHeJ_G0032546,ENSMUSG00000034825
MGP_CASTEiJ_G0008645,MGP_129S1SvImJ_G0008890,MGP_NODShiLtJ_G0008785,MGP_C3HHeJ_G0008802,ENSMUSG00000065619
MGP_CASTEiJ_G0021996,MGP_129S1SvImJ_G0022736,MGP_NODShiLtJ_G0022565,MGP_C3HHeJ_G0022468,ENSMUSG00000053774
MGP_CASTEiJ_G0021009,MGP_129S1SvImJ_G0021750,MGP_NODShiLtJ_G0021589,MGP_C3HHeJ_G0021493,ENSMUSG00000022272
MGP_CASTEiJ_G0005704,MGP_129S1SvImJ_G0005849,MGP_NODShiLtJ_G0005786,MGP_C3HHeJ_G0005767,ENSMUSG00000090965
MGP_CASTEiJ_G0017861,MGP_129S1SvImJ_G0018553,MGP_NODShiLtJ_G0018401,MGP_C3HHeJ_G0018306,ENSMUSG00000018750
MGP_CASTEiJ_G0036007,MGP_129S1SvImJ_G0037157,MGP_NODShiLtJ_G0036927,MGP_C3HHeJ_G0036818,ENSMUSG00000080539
MGP_CASTEiJ_G0038059,MGP_129S1SvImJ_G0039287,MGP_NODShiLtJ_G0039038,MGP_C3HHeJ_G0038925,ENSMUSG00000088685
MGP_CASTEiJ_G0033060,MGP_129S1SvImJ_G0034048,MGP_NODShiLtJ_G0033851,MGP_C3HHeJ_G0033734,ENSMUSG00000031891
MGP_CASTEiJ_G0038224,MGP_129S1SvImJ_G0039454,MGP_NODShiLtJ_G0039210,MGP_C3HHeJ_G0039092,ENSMUSG00000077526
MGP_CASTEiJ_G0036232,MGP_129S1SvImJ_G0037397,MGP_NODShiLtJ_G0037168,MGP_C3HHeJ_G0037055,ENSMUSG00000064833
MGP_CASTEiJ_G0021400,MGP_129S1SvImJ_G0022143,MGP_NODShiLtJ_G0021971,MGP_C3HHeJ_G0021880,ENSMUSG00000049687
MGP_CASTEiJ_G0006124,MGP_129S1SvImJ_G0006271,MGP_NODShiLtJ_G0006207,MGP_C3HHeJ_G0006190,ENSMUSG00000056145
MGP_CASTEiJ_G0034269,MGP_129S1SvImJ_G0035275,MGP_NODShiLtJ_G0035074,MGP_C3HHeJ_G0034958,ENSMUSG00000032586
MGP_CASTEiJ_G0029307,MGP_129S1SvImJ_G0030203,MGP_NODShiLtJ_G0030005,MGP_C3HHeJ_G0029897,ENSMUSG00000039747
MGP_CASTEiJ_G0025878,MGP_129S1SvImJ_G0026699,MGP_NODShiLtJ_G0026519,MGP_C3HHeJ_G0026417,ENSMUSG00000027480
MGP_CASTEiJ_G0004762,MGP_129S1SvImJ_G0004899,MGP_NODShiLtJ_G0004827,MGP_C3HHeJ_G0004811,ENSMUSG00000100798
MGP_CASTEiJ_G0020759,MGP_129S1SvImJ_G0021500,MGP_NODShiLtJ_G0021340,MGP_C3HHeJ_G0021242,ENSMUSG00000046204
MGP_CASTEiJ_G0005359,MGP_129S1SvImJ_G0005502,MGP_NODShiLtJ_G0005431,MGP_C3HHeJ_G0005417,ENSMUSG00000097027
MGP_CASTEiJ_G0004874,MGP_129S1SvImJ_G0005014,MGP_NODShiLtJ_G0004941,MGP_C3HHeJ_G0004926,ENSMUSG00000103631
MGP_CASTEiJ_G0023227,MGP_129S1SvImJ_G0024023,MGP_NODShiLtJ_G0023844,MGP_C3HHeJ_G0023746,ENSMUSG00000038541
MGP_CASTEiJ_G0025072,MGP_129S1SvImJ_G0025878,MGP_NODShiLtJ_G0025715,MGP_C3HHeJ_G0025610,ENSMUSG00000034701
MGP_CASTEiJ_G0000015,MGP_129S1SvImJ_G0000017,MGP_NODShiLtJ_G0000016,MGP_C3HHeJ_G0000017,ENSMUSG00000094028
MGP_CASTEiJ_G0005872,MGP_129S1SvImJ_G0006018,MGP_NODShiLtJ_G0005954,MGP_C3HHeJ_G0005937,ENSMUSG00000074783
MGP_CASTEiJ_G0008854,MGP_129S1SvImJ_G0009114,MGP_NODShiLtJ_G0009001,MGP_C3HHeJ_G0009020,ENSMUSG00000093140
MGP_CASTEiJ_G0032539,MGP_129S1SvImJ_G0033524,MGP_NODShiLtJ_G0033330,MGP_C3HHeJ_G0033212,ENSMUSG00000009630
MGP_CASTEiJ_G0030011,MGP_129S1SvImJ_G0030923,MGP_NODShiLtJ_G0030731,MGP_C3HHeJ_G0030808,ENSMUSG00000034930
MGP_CASTEiJ_G0024754,MGP_129S1SvImJ_G0025557,MGP_NODShiLtJ_G0025395,MGP_C3HHeJ_G0025292,ENSMUSG00000039660
MGP_CASTEiJ_G0033468,MGP_129S1SvImJ_G0034464,MGP_NODShiLtJ_G0034263,MGP_C3HHeJ_G0034145,ENSMUSG00000047822
MGP_CASTEiJ_G0025074,MGP_129S1SvImJ_G0025880,MGP_NODShiLtJ_G0025717,MGP_C3HHeJ_G0025612,ENSMUSG00000034683
MGP_CASTEiJ_G0017481,MGP_129S1SvImJ_G0018162,MGP_NODShiLtJ_G0018018,MGP_C3HHeJ_G0017917,ENSMUSG00000020328
MGP_CASTEiJ_G0026548,MGP_129S1SvImJ_G0027386,MGP_NODShiLtJ_G0027201,MGP_C3HHeJ_G0027102,ENSMUSG00000103766
MGP_CASTEiJ_G0017783,MGP_129S1SvImJ_G0018474,MGP_NODShiLtJ_G0018324,MGP_C3HHeJ_G0018227,ENSMUSG00000033389
MGP_CASTEiJ_G0005649,MGP_129S1SvImJ_G0005792,MGP_NODShiLtJ_G0005726,MGP_C3HHeJ_G0005708,ENSMUSG00000097618
MGP_CASTEiJ_G0023430,MGP_129S1SvImJ_G0024221,MGP_NODShiLtJ_G0024049,MGP_C3HHeJ_G0023955,ENSMUSG00000052229
MGP_CASTEiJ_G0022574,MGP_129S1SvImJ_G0023348,MGP_NODShiLtJ_G0023166,MGP_C3HHeJ_G0023072,ENSMUSG00000015120
MGP_CASTEiJ_G0031541,MGP_129S1SvImJ_G0032514,MGP_NODShiLtJ_G0032323,MGP_C3HHeJ_G0032214,ENSMUSG00000030643
MGP_CASTEiJ_G0020731,MGP_129S1SvImJ_G0021472,MGP_NODShiLtJ_G0021312,MGP_C3HHeJ_G0021214,ENSMUSG00000054733
MGP_CASTEiJ_G0006093,MGP_129S1SvImJ_G0006241,MGP_NODShiLtJ_G0006177,MGP_C3HHeJ_G0006159,ENSMUSG00000097515
MGP_CASTEiJ_G0027448,MGP_129S1SvImJ_G0028309,MGP_NODShiLtJ_G0028116,MGP_C3HHeJ_G0028010,ENSMUSG00000070979
MGP_CASTEiJ_G0006677,MGP_129S1SvImJ_G0006839,MGP_NODShiLtJ_G0006762,MGP_C3HHeJ_G0006754,ENSMUSG00000079163
MGP_CASTEiJ_G0022184,MGP_129S1SvImJ_G0022928,MGP_NODShiLtJ_G0022756,MGP_C3HHeJ_G0022660,ENSMUSG00000095706
MGP_CASTEiJ_G0023615,MGP_129S1SvImJ_G0024407,MGP_NODShiLtJ_G0024237,MGP_C3HHeJ_G0024141,ENSMUSG00000033319
MGP_CASTEiJ_G0006696,MGP_129S1SvImJ_G0006862,MGP_NODShiLtJ_G0006784,MGP_C3HHeJ_G0006777,ENSMUSG00000106733
MGP_CASTEiJ_G0024834,MGP_129S1SvImJ_G0025638,MGP_NODShiLtJ_G0025476,MGP_C3HHeJ_G0025372,ENSMUSG00000038696
MGP_CASTEiJ_G0023483,MGP_129S1SvImJ_G0024275,MGP_NODShiLtJ_G0024103,MGP_C3HHeJ_G0024008,ENSMUSG00000043991
MGP_CASTEiJ_G0027388,MGP_129S1SvImJ_G0028249,MGP_NODShiLtJ_G0028056,MGP_C3HHeJ_G0027949,ENSMUSG00000035539
MGP_CASTEiJ_G0017641,MGP_129S1SvImJ_G0018325,MGP_NODShiLtJ_G0018178,MGP_C3HHeJ_G0018076,ENSMUSG00000000594
MGP_CASTEiJ_G0035153,MGP_129S1SvImJ_G0036187,MGP_NODShiLtJ_G0035967,MGP_C3HHeJ_G0035862,ENSMUSG00000091863
MGP_CASTEiJ_G0034778,MGP_129S1SvImJ_G0035816,MGP_NODShiLtJ_G0035601,MGP_C3HHeJ_G0035487,ENSMUSG00000002015
MGP_CASTEiJ_G0026290,MGP_129S1SvImJ_G0027122,MGP_NODShiLtJ_G0026936,MGP_C3HHeJ_G0026836,ENSMUSG00000037730
MGP_CASTEiJ_G0022914,MGP_129S1SvImJ_G0023702,MGP_NODShiLtJ_G0023527,MGP_C3HHeJ_G0023429,ENSMUSG00000049561
MGP_CASTEiJ_G0036575,MGP_129S1SvImJ_G0037768,MGP_NODShiLtJ_G0037528,MGP_C3HHeJ_G0037412,ENSMUSG00000098578
MGP_CASTEiJ_G0032309,MGP_129S1SvImJ_G0033289,MGP_NODShiLtJ_G0033095,MGP_C3HHeJ_G0032986,ENSMUSG00000031077
MGP_CASTEiJ_G0015699,MGP_129S1SvImJ_G0016350,MGP_NODShiLtJ_G0016219,MGP_C3HHeJ_G0016116,ENSMUSG00000026283
MGP_CASTEiJ_G0032711,MGP_129S1SvImJ_G0033697,MGP_NODShiLtJ_G0033502,MGP_C3HHeJ_G0033386,ENSMUSG00000036054
MGP_CASTEiJ_G0007510,MGP_129S1SvImJ_G0007695,MGP_NODShiLtJ_G0007609,MGP_C3HHeJ_G0007612,ENSMUSG00000092633
MGP_CASTEiJ_G0032862,MGP_129S1SvImJ_G0033846,MGP_NODShiLtJ_G0033651,MGP_C3HHeJ_G0033532,ENSMUSG00000046408
MGP_CASTEiJ_G0021433,MGP_129S1SvImJ_G0022176,MGP_NODShiLtJ_G0022004,MGP_C3HHeJ_G0021911,ENSMUSG00000022438
MGP_CASTEiJ_G0027378,MGP_129S1SvImJ_G0028240,MGP_NODShiLtJ_G0028045,MGP_C3HHeJ_G0027939,ENSMUSG00000048232
MGP_CASTEiJ_G0020377,MGP_129S1SvImJ_G0021117,MGP_NODShiLtJ_G0020951,MGP_C3HHeJ_G0020852,ENSMUSG00000042323
MGP_CASTEiJ_G0017353,MGP_129S1SvImJ_G0018037,MGP_NODShiLtJ_G0017894,MGP_C3HHeJ_G0017791,ENSMUSG00000020413
MGP_CASTEiJ_G0035380,MGP_129S1SvImJ_G0036524,MGP_NODShiLtJ_G0036294,MGP_C3HHeJ_G0036193,ENSMUSG00000065691
MGP_CASTEiJ_G0019080,MGP_129S1SvImJ_G0019785,MGP_NODShiLtJ_G0019640,MGP_C3HHeJ_G0019529,ENSMUSG00000034892
MGP_CASTEiJ_G0023650,MGP_129S1SvImJ_G0024443,MGP_NODShiLtJ_G0024273,MGP_C3HHeJ_G0024176,ENSMUSG00000032900
MGP_CASTEiJ_G0035551,MGP_129S1SvImJ_G0036695,MGP_NODShiLtJ_G0036466,MGP_C3HHeJ_G0036364,ENSMUSG00000064617
MGP_CASTEiJ_G0022728,MGP_129S1SvImJ_G0023503,MGP_NODShiLtJ_G0023320,MGP_C3HHeJ_G0023227,ENSMUSG00000024050
MGP_CASTEiJ_G0023771,MGP_129S1SvImJ_G0024563,MGP_NODShiLtJ_G0024393,MGP_C3HHeJ_G0024298,ENSMUSG00000035765
MGP_CASTEiJ_G0022987,MGP_129S1SvImJ_G0023780,MGP_NODShiLtJ_G0023604,MGP_C3HHeJ_G0023506,ENSMUSG00000039601
MGP_CASTEiJ_G0005802,MGP_129S1SvImJ_G0005947,MGP_NODShiLtJ_G0005885,MGP_C3HHeJ_G0005866,ENSMUSG00000087504
MGP_CASTEiJ_G0018016,MGP_129S1SvImJ_G0018709,MGP_NODShiLtJ_G0018557,MGP_C3HHeJ_G0018462,ENSMUSG00000018809
MGP_CASTEiJ_G0002392,MGP_129S1SvImJ_G0002483,MGP_NODShiLtJ_G0002410,MGP_C3HHeJ_G0002430,ENSMUSG00000076924
MGP_CASTEiJ_G0029635,MGP_129S1SvImJ_G0030537,MGP_NODShiLtJ_G0030345,MGP_C3HHeJ_G0030233,ENSMUSG00000029782
MGP_CASTEiJ_G0026345,MGP_129S1SvImJ_G0027177,MGP_NODShiLtJ_G0026990,MGP_C3HHeJ_G0026892,ENSMUSG00000060798
MGP_CASTEiJ_G0034160,MGP_129S1SvImJ_G0035165,MGP_NODShiLtJ_G0034966,MGP_C3HHeJ_G0034849,ENSMUSG00000032462
MGP_CASTEiJ_G0018116,MGP_129S1SvImJ_G0018807,MGP_NODShiLtJ_G0018656,MGP_C3HHeJ_G0018561,ENSMUSG00000020709
MGP_CASTEiJ_G0017036,MGP_129S1SvImJ_G0017709,MGP_NODShiLtJ_G0017572,MGP_C3HHeJ_G0017475,ENSMUSG00000035923
MGP_CASTEiJ_G0015616,MGP_129S1SvImJ_G0016265,MGP_NODShiLtJ_G0016135,MGP_C3HHeJ_G0016031,ENSMUSG00000026258
MGP_CASTEiJ_G0018953,MGP_129S1SvImJ_G0019650,MGP_NODShiLtJ_G0019509,MGP_C3HHeJ_G0019398,ENSMUSG00000020673
MGP_CASTEiJ_G0009173,MGP_129S1SvImJ_G0009451,MGP_NODShiLtJ_G0009338,MGP_C3HHeJ_G0009354,ENSMUSG00000088259
MGP_CASTEiJ_G0035392,MGP_129S1SvImJ_G0036536,MGP_NODShiLtJ_G0036306,MGP_C3HHeJ_G0036206,ENSMUSG00000089599
MGP_CASTEiJ_G0028596,MGP_129S1SvImJ_G0029488,MGP_NODShiLtJ_G0029292,MGP_C3HHeJ_G0029187,ENSMUSG00000029198
MGP_CASTEiJ_G0005467,MGP_129S1SvImJ_G0005609,MGP_NODShiLtJ_G0005540,MGP_C3HHeJ_G0005523,ENSMUSG00000087543
MGP_CASTEiJ_G0031976,MGP_129S1SvImJ_G0032950,MGP_NODShiLtJ_G0032758,MGP_C3HHeJ_G0032648,ENSMUSG00000030869
MGP_CASTEiJ_G0034376,MGP_129S1SvImJ_G0035387,MGP_NODShiLtJ_G0035185,MGP_C3HHeJ_G0035071,ENSMUSG00000079260
MGP_CASTEiJ_G0021827,MGP_129S1SvImJ_G0022568,MGP_NODShiLtJ_G0022397,MGP_C3HHeJ_G0022299,ENSMUSG00000022771
MGP_CASTEiJ_G0021229,MGP_129S1SvImJ_G0021971,MGP_NODShiLtJ_G0021807,MGP_C3HHeJ_G0021710,ENSMUSG00000046761
MGP_CASTEiJ_G0000011,MGP_129S1SvImJ_G0000010,MGP_NODShiLtJ_G0000009,MGP_C3HHeJ_G0000010,ENSMUSG00000076617
