BL6_geneid,129_geneid,C3H_geneid,NOD_geneid,CAST_geneid
ENSMUSG00000098051::ENSMUSG00000098051,MGP_129S1SvImJ_G0006111::ENSMUSG00000098051,MGP_C3HHeJ_G0006028::ENSMUSG00000098051,MGP_NODShiLtJ_G0006047::ENSMUSG00000098051,MGP_CASTEiJ_G0005965::ENSMUSG00000098051
ENSMUSG00000097819::ENSMUSG00000097819,MGP_129S1SvImJ_G0004841::ENSMUSG00000097819,MGP_C3HHeJ_G0004752::ENSMUSG00000097819,MGP_NODShiLtJ_G0004767::ENSMUSG00000097819,MGP_CASTEiJ_G0004706::ENSMUSG00000097819
ENSMUSG00000101655::ENSMUSG00000101655,MGP_129S1SvImJ_G0007005::ENSMUSG00000101655,MGP_C3HHeJ_G0006948::ENSMUSG00000101655,MGP_NODShiLtJ_G0006926::ENSMUSG00000101655,MGP_CASTEiJ_G0006835::ENSMUSG00000101655
ENSMUSG00000086503::ENSMUSG00000086503,MGP_129S1SvImJ_G0007554::ENSMUSG00000086503,MGP_C3HHeJ_G0007474::ENSMUSG00000086503,MGP_NODShiLtJ_G0007476::ENSMUSG00000086503,MGP_CASTEiJ_G0007376::ENSMUSG00000086503
ENSMUSG00000084818::ENSMUSG00000084818,MGP_129S1SvImJ_G0006097::ENSMUSG00000084818,MGP_C3HHeJ_G0006014::ENSMUSG00000084818,MGP_NODShiLtJ_G0006033::ENSMUSG00000084818,MGP_CASTEiJ_G0005951::ENSMUSG00000084818
ENSMUSG00000107839::ENSMUSG00000107839,MGP_129S1SvImJ_G0007089::ENSMUSG00000107839,MGP_C3HHeJ_G0007006::ENSMUSG00000107839,MGP_NODShiLtJ_G0007011::ENSMUSG00000107839,MGP_CASTEiJ_G0006912::ENSMUSG00000107839
ENSMUSG00000086557::ENSMUSG00000086557,MGP_129S1SvImJ_G0006251::ENSMUSG00000086557,MGP_C3HHeJ_G0006170::ENSMUSG00000086557,MGP_NODShiLtJ_G0006187::ENSMUSG00000086557,MGP_CASTEiJ_G0006104::ENSMUSG00000086557
ENSMUSG00000108470::ENSMUSG00000108470,MGP_129S1SvImJ_G0007127::ENSMUSG00000108470,MGP_C3HHeJ_G0007045::ENSMUSG00000108470,MGP_NODShiLtJ_G0007050::ENSMUSG00000108470,MGP_CASTEiJ_G0006948::ENSMUSG00000108470
ENSMUSG00000097404::ENSMUSG00000097404,MGP_129S1SvImJ_G0005810::ENSMUSG00000097404,MGP_C3HHeJ_G0005727::ENSMUSG00000097404,MGP_NODShiLtJ_G0005745::ENSMUSG00000097404,MGP_CASTEiJ_G0005667::ENSMUSG00000097404
ENSMUSG00000105531::ENSMUSG00000105531,MGP_129S1SvImJ_G0006733::ENSMUSG00000105531,MGP_C3HHeJ_G0006648::ENSMUSG00000105531,MGP_NODShiLtJ_G0006658::ENSMUSG00000105531,MGP_CASTEiJ_G0006571::ENSMUSG00000105531
ENSMUSG00000097514::ENSMUSG00000097514,MGP_129S1SvImJ_G0006094::ENSMUSG00000097514,MGP_C3HHeJ_G0006011::ENSMUSG00000097514,MGP_NODShiLtJ_G0006030::ENSMUSG00000097514,MGP_CASTEiJ_G0005948::ENSMUSG00000097514
ENSMUSG00000087045::ENSMUSG00000087045,MGP_129S1SvImJ_G0006551::ENSMUSG00000087045,MGP_C3HHeJ_G0006467::ENSMUSG00000087045,MGP_NODShiLtJ_G0006480::ENSMUSG00000087045,MGP_CASTEiJ_G0006398::ENSMUSG00000087045
ENSMUSG00000104610::ENSMUSG00000104610,MGP_129S1SvImJ_G0006324::ENSMUSG00000104610,MGP_C3HHeJ_G0006242::ENSMUSG00000104610,MGP_NODShiLtJ_G0006258::ENSMUSG00000104610,MGP_CASTEiJ_G0006176::ENSMUSG00000104610
ENSMUSG00000098684::ENSMUSG00000098684,MGP_129S1SvImJ_G0007352::ENSMUSG00000098684,MGP_C3HHeJ_G0007271::ENSMUSG00000098684,MGP_NODShiLtJ_G0007273::ENSMUSG00000098684,MGP_CASTEiJ_G0007173::ENSMUSG00000098684
ENSMUSG00000069554::ENSMUSG00000069554,MGP_129S1SvImJ_G0005830::ENSMUSG00000069554,MGP_C3HHeJ_G0005748::ENSMUSG00000069554,MGP_NODShiLtJ_G0005767::ENSMUSG00000069554,MGP_CASTEiJ_G0005686::ENSMUSG00000069554
ENSMUSG00000097764::ENSMUSG00000097764,MGP_129S1SvImJ_G0005644::ENSMUSG00000097764,MGP_C3HHeJ_G0005558::ENSMUSG00000097764,MGP_NODShiLtJ_G0005575::ENSMUSG00000097764,MGP_CASTEiJ_G0005502::ENSMUSG00000097764
ENSMUSG00000100096::ENSMUSG00000100096,MGP_129S1SvImJ_G0005470::ENSMUSG00000100096,MGP_C3HHeJ_G0005385::ENSMUSG00000100096,MGP_NODShiLtJ_G0005399::ENSMUSG00000100096,MGP_CASTEiJ_G0005328::ENSMUSG00000100096
ENSMUSG00000106019::ENSMUSG00000106019,MGP_129S1SvImJ_G0006137::ENSMUSG00000106019,MGP_C3HHeJ_G0006054::ENSMUSG00000106019,MGP_NODShiLtJ_G0006072::ENSMUSG00000106019,MGP_CASTEiJ_G0005989::ENSMUSG00000106019
ENSMUSG00000107538::ENSMUSG00000107538,MGP_129S1SvImJ_G0007001::ENSMUSG00000107538,MGP_C3HHeJ_G0006952::ENSMUSG00000107538,MGP_NODShiLtJ_G0006922::ENSMUSG00000107538,MGP_CASTEiJ_G0006831::ENSMUSG00000107538
ENSMUSG00000105183::ENSMUSG00000105183,MGP_129S1SvImJ_G0006657::ENSMUSG00000105183,MGP_C3HHeJ_G0006573::ENSMUSG00000105183,MGP_NODShiLtJ_G0006582::ENSMUSG00000105183,MGP_CASTEiJ_G0006495::ENSMUSG00000105183
ENSMUSG00000099452::ENSMUSG00000099452,MGP_129S1SvImJ_G0005604::ENSMUSG00000099452,MGP_C3HHeJ_G0005518::ENSMUSG00000099452,MGP_NODShiLtJ_G0005535::ENSMUSG00000099452,MGP_CASTEiJ_G0005462::ENSMUSG00000099452
ENSMUSG00000104607::ENSMUSG00000104607,MGP_129S1SvImJ_G0006282::ENSMUSG00000104607,MGP_C3HHeJ_G0006201::ENSMUSG00000104607,MGP_NODShiLtJ_G0006218::ENSMUSG00000104607,MGP_CASTEiJ_G0006134::ENSMUSG00000104607
ENSMUSG00000108657::ENSMUSG00000108657,MGP_129S1SvImJ_G0007146::ENSMUSG00000108657,MGP_C3HHeJ_G0007064::ENSMUSG00000108657,MGP_NODShiLtJ_G0007069::ENSMUSG00000108657,MGP_CASTEiJ_G0006968::ENSMUSG00000108657
ENSMUSG00000106168::ENSMUSG00000106168,MGP_129S1SvImJ_G0006169::ENSMUSG00000106168,MGP_C3HHeJ_G0006087::ENSMUSG00000106168,MGP_NODShiLtJ_G0006105::ENSMUSG00000106168,MGP_CASTEiJ_G0006022::ENSMUSG00000106168
ENSMUSG00000072753::ENSMUSG00000072753,MGP_129S1SvImJ_G0005252::ENSMUSG00000072753,MGP_C3HHeJ_G0005166::ENSMUSG00000072753,MGP_NODShiLtJ_G0005181::ENSMUSG00000072753,MGP_CASTEiJ_G0005113::ENSMUSG00000072753
ENSMUSG00000086042::ENSMUSG00000086042,MGP_129S1SvImJ_G0006462::ENSMUSG00000086042,MGP_C3HHeJ_G0006378::ENSMUSG00000086042,MGP_NODShiLtJ_G0006392::ENSMUSG00000086042,MGP_CASTEiJ_G0006311::ENSMUSG00000086042
ENSMUSG00000097862::ENSMUSG00000097862,MGP_129S1SvImJ_G0005812::ENSMUSG00000097862,MGP_C3HHeJ_G0005729::ENSMUSG00000097862,MGP_NODShiLtJ_G0005747::ENSMUSG00000097862,MGP_CASTEiJ_G0005669::ENSMUSG00000097862
ENSMUSG00000102098::ENSMUSG00000102098,MGP_129S1SvImJ_G0005351::ENSMUSG00000102098,MGP_C3HHeJ_G0005265::ENSMUSG00000102098,MGP_NODShiLtJ_G0005279::ENSMUSG00000102098,MGP_CASTEiJ_G0005212::ENSMUSG00000102098
ENSMUSG00000098107::ENSMUSG00000098107,MGP_129S1SvImJ_G0005455::ENSMUSG00000098107,MGP_C3HHeJ_G0005370::ENSMUSG00000098107,MGP_NODShiLtJ_G0005384::ENSMUSG00000098107,MGP_CASTEiJ_G0005313::ENSMUSG00000098107
ENSMUSG00000102215::ENSMUSG00000102215,MGP_129S1SvImJ_G0006123::ENSMUSG00000102215,MGP_C3HHeJ_G0006040::ENSMUSG00000102215,MGP_NODShiLtJ_G0006058::ENSMUSG00000102215,MGP_CASTEiJ_G0005976::ENSMUSG00000102215
ENSMUSG00000106015::ENSMUSG00000106015,MGP_129S1SvImJ_G0006820::ENSMUSG00000106015,MGP_C3HHeJ_G0006735::ENSMUSG00000106015,MGP_NODShiLtJ_G0006744::ENSMUSG00000106015,MGP_CASTEiJ_G0006657::ENSMUSG00000106015
ENSMUSG00000105476::ENSMUSG00000105476,MGP_129S1SvImJ_G0006238::ENSMUSG00000105476,MGP_C3HHeJ_G0006156::ENSMUSG00000105476,MGP_NODShiLtJ_G0006174::ENSMUSG00000105476,MGP_CASTEiJ_G0006090::ENSMUSG00000105476
ENSMUSG00000100221::ENSMUSG00000100221,MGP_129S1SvImJ_G0005004::ENSMUSG00000100221,MGP_C3HHeJ_G0004916::ENSMUSG00000100221,MGP_NODShiLtJ_G0004931::ENSMUSG00000100221,MGP_CASTEiJ_G0004864::ENSMUSG00000100221
ENSMUSG00000087100::ENSMUSG00000087100,MGP_129S1SvImJ_G0006100::ENSMUSG00000087100,MGP_C3HHeJ_G0006017::ENSMUSG00000087100,MGP_NODShiLtJ_G0006036::ENSMUSG00000087100,MGP_CASTEiJ_G0005954::ENSMUSG00000087100
ENSMUSG00000086212::ENSMUSG00000086212,MGP_129S1SvImJ_G0006924::ENSMUSG00000086212,MGP_C3HHeJ_G0006839::ENSMUSG00000086212,MGP_NODShiLtJ_G0006845::ENSMUSG00000086212,MGP_CASTEiJ_G0006756::ENSMUSG00000086212
ENSMUSG00000085660::ENSMUSG00000085660,MGP_129S1SvImJ_G0006421::ENSMUSG00000085660,MGP_C3HHeJ_G0006337::ENSMUSG00000085660,MGP_NODShiLtJ_G0006351::ENSMUSG00000085660,MGP_CASTEiJ_G0006271::ENSMUSG00000085660
ENSMUSG00000105218::ENSMUSG00000105218,MGP_129S1SvImJ_G0006713::ENSMUSG00000105218,MGP_C3HHeJ_G0006628::ENSMUSG00000105218,MGP_NODShiLtJ_G0006638::ENSMUSG00000105218,MGP_CASTEiJ_G0006551::ENSMUSG00000105218
ENSMUSG00000103912::ENSMUSG00000103912,MGP_129S1SvImJ_G0006127::ENSMUSG00000103912,MGP_C3HHeJ_G0006044::ENSMUSG00000103912,MGP_NODShiLtJ_G0006062::ENSMUSG00000103912,MGP_CASTEiJ_G0005980::ENSMUSG00000103912
ENSMUSG00000108322::ENSMUSG00000108322,MGP_129S1SvImJ_G0007172::ENSMUSG00000108322,MGP_C3HHeJ_G0007090::ENSMUSG00000108322,MGP_NODShiLtJ_G0007095::ENSMUSG00000108322,MGP_CASTEiJ_G0006994::ENSMUSG00000108322
ENSMUSG00000087648::ENSMUSG00000087648,MGP_129S1SvImJ_G0006082::ENSMUSG00000087648,MGP_C3HHeJ_G0005999::ENSMUSG00000087648,MGP_NODShiLtJ_G0006018::ENSMUSG00000087648,MGP_CASTEiJ_G0005936::ENSMUSG00000087648
ENSMUSG00000104807::ENSMUSG00000104807,MGP_129S1SvImJ_G0006764::ENSMUSG00000104807,MGP_C3HHeJ_G0006679::ENSMUSG00000104807,MGP_NODShiLtJ_G0006689::ENSMUSG00000104807,MGP_CASTEiJ_G0006602::ENSMUSG00000104807
ENSMUSG00000087228::ENSMUSG00000087228,MGP_129S1SvImJ_G0006495::ENSMUSG00000087228,MGP_C3HHeJ_G0006411::ENSMUSG00000087228,MGP_NODShiLtJ_G0006425::ENSMUSG00000087228,MGP_CASTEiJ_G0006343::ENSMUSG00000087228
ENSMUSG00000106461::ENSMUSG00000106461,MGP_129S1SvImJ_G0006164::ENSMUSG00000106461,MGP_C3HHeJ_G0006082::ENSMUSG00000106461,MGP_NODShiLtJ_G0006100::ENSMUSG00000106461,MGP_CASTEiJ_G0006017::ENSMUSG00000106461
ENSMUSG00000096919::ENSMUSG00000096919,MGP_129S1SvImJ_G0007545::ENSMUSG00000096919,MGP_C3HHeJ_G0007464::ENSMUSG00000096919,MGP_NODShiLtJ_G0007468::ENSMUSG00000096919,MGP_CASTEiJ_G0007367::ENSMUSG00000096919
ENSMUSG00000104529::ENSMUSG00000104529,MGP_129S1SvImJ_G0006846::ENSMUSG00000104529,MGP_C3HHeJ_G0006761::ENSMUSG00000104529,MGP_NODShiLtJ_G0006768::ENSMUSG00000104529,MGP_CASTEiJ_G0006680::ENSMUSG00000104529
ENSMUSG00000097818::ENSMUSG00000097818,MGP_129S1SvImJ_G0006040::ENSMUSG00000097818,MGP_C3HHeJ_G0005959::ENSMUSG00000097818,MGP_NODShiLtJ_G0005976::ENSMUSG00000097818,MGP_CASTEiJ_G0005893::ENSMUSG00000097818
ENSMUSG00000099392::ENSMUSG00000099392,MGP_129S1SvImJ_G0004788::ENSMUSG00000099392,MGP_C3HHeJ_G0004699::ENSMUSG00000099392,MGP_NODShiLtJ_G0004715::ENSMUSG00000099392,MGP_CASTEiJ_G0004655::ENSMUSG00000099392
ENSMUSG00000101731::ENSMUSG00000101731,MGP_129S1SvImJ_G0004946::ENSMUSG00000101731,MGP_C3HHeJ_G0004858::ENSMUSG00000101731,MGP_NODShiLtJ_G0004873::ENSMUSG00000101731,MGP_CASTEiJ_G0004807::ENSMUSG00000101731
ENSMUSG00000086445::ENSMUSG00000086445,MGP_129S1SvImJ_G0005853::ENSMUSG00000086445,MGP_C3HHeJ_G0005771::ENSMUSG00000086445,MGP_NODShiLtJ_G0005790::ENSMUSG00000086445,MGP_CASTEiJ_G0005708::ENSMUSG00000086445
ENSMUSG00000108587::ENSMUSG00000108587,MGP_129S1SvImJ_G0007182::ENSMUSG00000108587,MGP_C3HHeJ_G0007100::ENSMUSG00000108587,MGP_NODShiLtJ_G0007104::ENSMUSG00000108587,MGP_CASTEiJ_G0007003::ENSMUSG00000108587
ENSMUSG00000108236::ENSMUSG00000108236,MGP_129S1SvImJ_G0006960::ENSMUSG00000108236,MGP_C3HHeJ_G0006876::ENSMUSG00000108236,MGP_NODShiLtJ_G0006881::ENSMUSG00000108236,MGP_CASTEiJ_G0006792::ENSMUSG00000108236
ENSMUSG00000105076::ENSMUSG00000105076,MGP_129S1SvImJ_G0006587::ENSMUSG00000105076,MGP_C3HHeJ_G0006502::ENSMUSG00000105076,MGP_NODShiLtJ_G0006513::ENSMUSG00000105076,MGP_CASTEiJ_G0006429::ENSMUSG00000105076
ENSMUSG00000073976::ENSMUSG00000073976,MGP_129S1SvImJ_G0005664::ENSMUSG00000073976,MGP_C3HHeJ_G0005578::ENSMUSG00000073976,MGP_NODShiLtJ_G0005595::ENSMUSG00000073976,MGP_CASTEiJ_G0005522::ENSMUSG00000073976
ENSMUSG00000102893::ENSMUSG00000102893,MGP_129S1SvImJ_G0006231::ENSMUSG00000102893,MGP_C3HHeJ_G0006149::ENSMUSG00000102893,MGP_NODShiLtJ_G0006167::ENSMUSG00000102893,MGP_CASTEiJ_G0006083::ENSMUSG00000102893
ENSMUSG00000097090::ENSMUSG00000097090,MGP_129S1SvImJ_G0005706::ENSMUSG00000097090,MGP_C3HHeJ_G0005622::ENSMUSG00000097090,MGP_NODShiLtJ_G0005639::ENSMUSG00000097090,MGP_CASTEiJ_G0005564::ENSMUSG00000097090
ENSMUSG00000100465::ENSMUSG00000100465,MGP_129S1SvImJ_G0006876::ENSMUSG00000100465,MGP_C3HHeJ_G0006791::ENSMUSG00000100465,MGP_NODShiLtJ_G0006798::ENSMUSG00000100465,MGP_CASTEiJ_G0006710::ENSMUSG00000100465
ENSMUSG00000097908::ENSMUSG00000097908,MGP_129S1SvImJ_G0006833::ENSMUSG00000097908,MGP_C3HHeJ_G0006748::ENSMUSG00000097908,MGP_NODShiLtJ_G0006757::ENSMUSG00000097908,MGP_CASTEiJ_G0006670::ENSMUSG00000097908
ENSMUSG00000068957::ENSMUSG00000068957,MGP_129S1SvImJ_G0006215::ENSMUSG00000068957,MGP_C3HHeJ_G0006133::ENSMUSG00000068957,MGP_NODShiLtJ_G0006151::ENSMUSG00000068957,MGP_CASTEiJ_G0006067::ENSMUSG00000068957
ENSMUSG00000056699::ENSMUSG00000056699,MGP_129S1SvImJ_G0005055::ENSMUSG00000056699,MGP_C3HHeJ_G0004967::ENSMUSG00000056699,MGP_NODShiLtJ_G0004982::ENSMUSG00000056699,MGP_CASTEiJ_G0004914::ENSMUSG00000056699
ENSMUSG00000085740::ENSMUSG00000085740,MGP_129S1SvImJ_G0006864::ENSMUSG00000085740,MGP_C3HHeJ_G0006779::ENSMUSG00000085740,MGP_NODShiLtJ_G0006786::ENSMUSG00000085740,MGP_CASTEiJ_G0006698::ENSMUSG00000085740
ENSMUSG00000103043::ENSMUSG00000103043,MGP_129S1SvImJ_G0005044::ENSMUSG00000103043,MGP_C3HHeJ_G0004956::ENSMUSG00000103043,MGP_NODShiLtJ_G0004971::ENSMUSG00000103043,MGP_CASTEiJ_G0004904::ENSMUSG00000103043
ENSMUSG00000098295::ENSMUSG00000098295,MGP_129S1SvImJ_G0007357::ENSMUSG00000098295,MGP_C3HHeJ_G0007276::ENSMUSG00000098295,MGP_NODShiLtJ_G0007278::ENSMUSG00000098295,MGP_CASTEiJ_G0007178::ENSMUSG00000098295
ENSMUSG00000101265::ENSMUSG00000101265,MGP_129S1SvImJ_G0004917::ENSMUSG00000101265,MGP_C3HHeJ_G0004829::ENSMUSG00000101265,MGP_NODShiLtJ_G0004845::ENSMUSG00000101265,MGP_CASTEiJ_G0004779::ENSMUSG00000101265
ENSMUSG00000101720::ENSMUSG00000101720,MGP_129S1SvImJ_G0006994::ENSMUSG00000101720,MGP_C3HHeJ_G0006959::ENSMUSG00000101720,MGP_NODShiLtJ_G0006915::ENSMUSG00000101720,MGP_CASTEiJ_G0006824::ENSMUSG00000101720
ENSMUSG00000097017::ENSMUSG00000097017,MGP_129S1SvImJ_G0007132::ENSMUSG00000097017,MGP_C3HHeJ_G0007050::ENSMUSG00000097017,MGP_NODShiLtJ_G0007054::ENSMUSG00000097017,MGP_CASTEiJ_G0006953::ENSMUSG00000097017
ENSMUSG00000108675::ENSMUSG00000108675,MGP_129S1SvImJ_G0007128::ENSMUSG00000108675,MGP_C3HHeJ_G0007047::ENSMUSG00000108675,MGP_NODShiLtJ_G0007051::ENSMUSG00000108675,MGP_CASTEiJ_G0006950::ENSMUSG00000108675
ENSMUSG00000074256::ENSMUSG00000074256,MGP_129S1SvImJ_G0007445::ENSMUSG00000074256,MGP_C3HHeJ_G0007362::ENSMUSG00000074256,MGP_NODShiLtJ_G0007366::ENSMUSG00000074256,MGP_CASTEiJ_G0007266::ENSMUSG00000074256
ENSMUSG00000107614::ENSMUSG00000107614,MGP_129S1SvImJ_G0007026::ENSMUSG00000107614,MGP_C3HHeJ_G0006925::ENSMUSG00000107614,MGP_NODShiLtJ_G0006948::ENSMUSG00000107614,MGP_CASTEiJ_G0006853::ENSMUSG00000107614
ENSMUSG00000087508::ENSMUSG00000087508,MGP_129S1SvImJ_G0006051::ENSMUSG00000087508,MGP_C3HHeJ_G0005968::ENSMUSG00000087508,MGP_NODShiLtJ_G0005987::ENSMUSG00000087508,MGP_CASTEiJ_G0005905::ENSMUSG00000087508
ENSMUSG00000106423::ENSMUSG00000106423,MGP_129S1SvImJ_G0006296::ENSMUSG00000106423,MGP_C3HHeJ_G0006215::ENSMUSG00000106423,MGP_NODShiLtJ_G0006232::ENSMUSG00000106423,MGP_CASTEiJ_G0006148::ENSMUSG00000106423
ENSMUSG00000021874::ENSMUSG00000021874,MGP_129S1SvImJ_G0005528::ENSMUSG00000021874,MGP_C3HHeJ_G0005443::ENSMUSG00000021874,MGP_NODShiLtJ_G0005458::ENSMUSG00000021874,MGP_CASTEiJ_G0005385::ENSMUSG00000021874
ENSMUSG00000105239::ENSMUSG00000105239,MGP_129S1SvImJ_G0006832::ENSMUSG00000105239,MGP_C3HHeJ_G0006747::ENSMUSG00000105239,MGP_NODShiLtJ_G0006756::ENSMUSG00000105239,MGP_CASTEiJ_G0006669::ENSMUSG00000105239
ENSMUSG00000086981::ENSMUSG00000086981,MGP_129S1SvImJ_G0005221::ENSMUSG00000086981,MGP_C3HHeJ_G0005135::ENSMUSG00000086981,MGP_NODShiLtJ_G0005150::ENSMUSG00000086981,MGP_CASTEiJ_G0005082::ENSMUSG00000086981
ENSMUSG00000056716::ENSMUSG00000056716,MGP_129S1SvImJ_G0005106::ENSMUSG00000056716,MGP_C3HHeJ_G0005019::ENSMUSG00000056716,MGP_NODShiLtJ_G0005033::ENSMUSG00000056716,MGP_CASTEiJ_G0004966::ENSMUSG00000056716
ENSMUSG00000103708::ENSMUSG00000103708,MGP_129S1SvImJ_G0004801::ENSMUSG00000103708,MGP_C3HHeJ_G0004712::ENSMUSG00000103708,MGP_NODShiLtJ_G0004728::ENSMUSG00000103708,MGP_CASTEiJ_G0004668::ENSMUSG00000103708
ENSMUSG00000097516::ENSMUSG00000097516,MGP_129S1SvImJ_G0006708::ENSMUSG00000097516,MGP_C3HHeJ_G0006623::ENSMUSG00000097516,MGP_NODShiLtJ_G0006633::ENSMUSG00000097516,MGP_CASTEiJ_G0006546::ENSMUSG00000097516
ENSMUSG00000097163::ENSMUSG00000097163,MGP_129S1SvImJ_G0006780::ENSMUSG00000097163,MGP_C3HHeJ_G0006695::ENSMUSG00000097163,MGP_NODShiLtJ_G0006705::ENSMUSG00000097163,MGP_CASTEiJ_G0006618::ENSMUSG00000097163
ENSMUSG00000104875::ENSMUSG00000104875,MGP_129S1SvImJ_G0006849::ENSMUSG00000104875,MGP_C3HHeJ_G0006764::ENSMUSG00000104875,MGP_NODShiLtJ_G0006771::ENSMUSG00000104875,MGP_CASTEiJ_G0006683::ENSMUSG00000104875
ENSMUSG00000100711::ENSMUSG00000100711,MGP_129S1SvImJ_G0004928::ENSMUSG00000100711,MGP_C3HHeJ_G0004840::ENSMUSG00000100711,MGP_NODShiLtJ_G0004855::ENSMUSG00000100711,MGP_CASTEiJ_G0004790::ENSMUSG00000100711
ENSMUSG00000103517::ENSMUSG00000103517,MGP_129S1SvImJ_G0005088::ENSMUSG00000103517,MGP_C3HHeJ_G0005001::ENSMUSG00000103517,MGP_NODShiLtJ_G0005014::ENSMUSG00000103517,MGP_CASTEiJ_G0004948::ENSMUSG00000103517
ENSMUSG00000100146::ENSMUSG00000100146,MGP_129S1SvImJ_G0007521::ENSMUSG00000100146,MGP_C3HHeJ_G0007438::ENSMUSG00000100146,MGP_NODShiLtJ_G0007442::ENSMUSG00000100146,MGP_CASTEiJ_G0007342::ENSMUSG00000100146
ENSMUSG00000106023::ENSMUSG00000106023,MGP_129S1SvImJ_G0006357::ENSMUSG00000106023,MGP_C3HHeJ_G0006275::ENSMUSG00000106023,MGP_NODShiLtJ_G0006291::ENSMUSG00000106023,MGP_CASTEiJ_G0006209::ENSMUSG00000106023
ENSMUSG00000086368::ENSMUSG00000086368,MGP_129S1SvImJ_G0006768::ENSMUSG00000086368,MGP_C3HHeJ_G0006683::ENSMUSG00000086368,MGP_NODShiLtJ_G0006693::ENSMUSG00000086368,MGP_CASTEiJ_G0006606::ENSMUSG00000086368
ENSMUSG00000108600::ENSMUSG00000108600,MGP_129S1SvImJ_G0007281::ENSMUSG00000108600,MGP_C3HHeJ_G0007200::ENSMUSG00000108600,MGP_NODShiLtJ_G0007203::ENSMUSG00000108600,MGP_CASTEiJ_G0007102::ENSMUSG00000108600
ENSMUSG00000096934::ENSMUSG00000096934,MGP_129S1SvImJ_G0005773::ENSMUSG00000096934,MGP_C3HHeJ_G0005689::ENSMUSG00000096934,MGP_NODShiLtJ_G0005707::ENSMUSG00000096934,MGP_CASTEiJ_G0005631::ENSMUSG00000096934
ENSMUSG00000106235::ENSMUSG00000106235,MGP_129S1SvImJ_G0006813::ENSMUSG00000106235,MGP_C3HHeJ_G0006728::ENSMUSG00000106235,MGP_NODShiLtJ_G0006737::ENSMUSG00000106235,MGP_CASTEiJ_G0006651::ENSMUSG00000106235
ENSMUSG00000085987::ENSMUSG00000085987,MGP_129S1SvImJ_G0005893::ENSMUSG00000085987,MGP_C3HHeJ_G0005812::ENSMUSG00000085987,MGP_NODShiLtJ_G0005831::ENSMUSG00000085987,MGP_CASTEiJ_G0005748::ENSMUSG00000085987
ENSMUSG00000097904::ENSMUSG00000097904,MGP_129S1SvImJ_G0006747::ENSMUSG00000097904,MGP_C3HHeJ_G0006662::ENSMUSG00000097904,MGP_NODShiLtJ_G0006672::ENSMUSG00000097904,MGP_CASTEiJ_G0006585::ENSMUSG00000097904
ENSMUSG00000097391::ENSMUSG00000097391,MGP_129S1SvImJ_G0005413::ENSMUSG00000097391,MGP_C3HHeJ_G0005326::ENSMUSG00000097391,MGP_NODShiLtJ_G0005340::ENSMUSG00000097391,MGP_CASTEiJ_G0005271::ENSMUSG00000097391
ENSMUSG00000105324::ENSMUSG00000105324,MGP_129S1SvImJ_G0006346::ENSMUSG00000105324,MGP_C3HHeJ_G0006264::ENSMUSG00000105324,MGP_NODShiLtJ_G0006280::ENSMUSG00000105324,MGP_CASTEiJ_G0006198::ENSMUSG00000105324
ENSMUSG00000097671::ENSMUSG00000097671,MGP_129S1SvImJ_G0007044::ENSMUSG00000097671,MGP_C3HHeJ_G0006908::ENSMUSG00000097671,MGP_NODShiLtJ_G0006966::ENSMUSG00000097671,MGP_CASTEiJ_G0006871::ENSMUSG00000097671
ENSMUSG00000101812::ENSMUSG00000101812,MGP_129S1SvImJ_G0004872::ENSMUSG00000101812,MGP_C3HHeJ_G0004783::ENSMUSG00000101812,MGP_NODShiLtJ_G0004798::ENSMUSG00000101812,MGP_CASTEiJ_G0004736::ENSMUSG00000101812
ENSMUSG00000106845::ENSMUSG00000106845,MGP_129S1SvImJ_G0006860::ENSMUSG00000106845,MGP_C3HHeJ_G0006775::ENSMUSG00000106845,MGP_NODShiLtJ_G0006782::ENSMUSG00000106845,MGP_CASTEiJ_G0006694::ENSMUSG00000106845
ENSMUSG00000102545::ENSMUSG00000102545,MGP_129S1SvImJ_G0006214::ENSMUSG00000102545,MGP_C3HHeJ_G0006132::ENSMUSG00000102545,MGP_NODShiLtJ_G0006150::ENSMUSG00000102545,MGP_CASTEiJ_G0006066::ENSMUSG00000102545
ENSMUSG00000106515::ENSMUSG00000106515,MGP_129S1SvImJ_G0006361::ENSMUSG00000106515,MGP_C3HHeJ_G0006279::ENSMUSG00000106515,MGP_NODShiLtJ_G0006295::ENSMUSG00000106515,MGP_CASTEiJ_G0006213::ENSMUSG00000106515
ENSMUSG00000086243::ENSMUSG00000086243,MGP_129S1SvImJ_G0005206::ENSMUSG00000086243,MGP_C3HHeJ_G0005120::ENSMUSG00000086243,MGP_NODShiLtJ_G0005135::ENSMUSG00000086243,MGP_CASTEiJ_G0005067::ENSMUSG00000086243
ENSMUSG00000085510::ENSMUSG00000085510,MGP_129S1SvImJ_G0005196::ENSMUSG00000085510,MGP_C3HHeJ_G0005110::ENSMUSG00000085510,MGP_NODShiLtJ_G0005125::ENSMUSG00000085510,MGP_CASTEiJ_G0005057::ENSMUSG00000085510
ENSMUSG00000107093::ENSMUSG00000107093,MGP_129S1SvImJ_G0006881::ENSMUSG00000107093,MGP_C3HHeJ_G0006796::ENSMUSG00000107093,MGP_NODShiLtJ_G0006803::ENSMUSG00000107093,MGP_CASTEiJ_G0006715::ENSMUSG00000107093
