BL6_geneid,129_geneid,C3H_geneid,CAST_geneid,NOD_geneid
ENSMUSG00000032766::ENSMUSG00000032766,MGP_129S1SvImJ_G0030425::ENSMUSG00000032766,MGP_C3HHeJ_G0030121::ENSMUSG00000032766,MGP_CASTEiJ_G0029522::ENSMUSG00000032766,MGP_NODShiLtJ_G0030233::ENSMUSG00000032766
ENSMUSG00000111869::ENSMUSG00000111869,MGP_129S1SvImJ_G0025668::ENSMUSG00000111869,MGP_C3HHeJ_G0025402::ENSMUSG00000111869,MGP_CASTEiJ_G0024864::ENSMUSG00000111869,MGP_NODShiLtJ_G0025506::ENSMUSG00000111869
ENSMUSG00000039714::ENSMUSG00000039714,MGP_129S1SvImJ_G0034872::ENSMUSG00000039714,MGP_C3HHeJ_G0034555::ENSMUSG00000039714,MGP_CASTEiJ_G0033876::ENSMUSG00000039714,MGP_NODShiLtJ_G0034670::ENSMUSG00000039714
ENSMUSG00000054196::ENSMUSG00000054196,MGP_129S1SvImJ_G0021812::ENSMUSG00000054196,MGP_C3HHeJ_G0021553::ENSMUSG00000054196,MGP_CASTEiJ_G0021070::ENSMUSG00000054196,MGP_NODShiLtJ_G0021648::ENSMUSG00000054196
ENSMUSG00000095407::ENSMUSG00000095407,MGP_129S1SvImJ_G0023995::ENSMUSG00000095407,MGP_C3HHeJ_G0023718::ENSMUSG00000095407,MGP_CASTEiJ_G0023200::ENSMUSG00000095407,MGP_NODShiLtJ_G0023816::ENSMUSG00000095407
ENSMUSG00000030030::ENSMUSG00000030030,MGP_129S1SvImJ_G0030925::ENSMUSG00000030030,MGP_C3HHeJ_G0030806::ENSMUSG00000030030,MGP_CASTEiJ_G0030013::ENSMUSG00000030030,MGP_NODShiLtJ_G0030733::ENSMUSG00000030030
ENSMUSG00000038980::ENSMUSG00000038980,MGP_129S1SvImJ_G0026992::ENSMUSG00000038980,MGP_C3HHeJ_G0026708::ENSMUSG00000038980,MGP_CASTEiJ_G0026167::ENSMUSG00000038980,MGP_NODShiLtJ_G0026808::ENSMUSG00000038980
ENSMUSG00000030741::ENSMUSG00000030741,MGP_129S1SvImJ_G0032976::ENSMUSG00000030741,MGP_C3HHeJ_G0032674::ENSMUSG00000030741,MGP_CASTEiJ_G0032002::ENSMUSG00000030741,MGP_NODShiLtJ_G0032784::ENSMUSG00000030741
ENSMUSG00000007030::ENSMUSG00000007030,MGP_129S1SvImJ_G0023606::ENSMUSG00000007030,MGP_C3HHeJ_G0023333::ENSMUSG00000007030,MGP_CASTEiJ_G0022830::ENSMUSG00000007030,MGP_NODShiLtJ_G0023428::ENSMUSG00000007030
ENSMUSG00000069971::ENSMUSG00000069971,MGP_129S1SvImJ_G0033913::ENSMUSG00000069971,MGP_C3HHeJ_G0033599::ENSMUSG00000069971,MGP_CASTEiJ_G0032930::ENSMUSG00000069971,MGP_NODShiLtJ_G0033718::ENSMUSG00000069971
ENSMUSG00000051331::ENSMUSG00000051331,MGP_129S1SvImJ_G0031189::ENSMUSG00000051331,MGP_C3HHeJ_G0030540::ENSMUSG00000051331,MGP_CASTEiJ_G0030276::ENSMUSG00000051331,MGP_NODShiLtJ_G0030994::ENSMUSG00000051331
ENSMUSG00000035248::ENSMUSG00000035248,MGP_129S1SvImJ_G0020645::ENSMUSG00000035248,MGP_C3HHeJ_G0020393::ENSMUSG00000035248,MGP_CASTEiJ_G0019909::ENSMUSG00000035248,MGP_NODShiLtJ_G0020485::ENSMUSG00000035248
ENSMUSG00000045620::ENSMUSG00000045620,MGP_129S1SvImJ_G0034852::ENSMUSG00000045620,MGP_C3HHeJ_G0034535::ENSMUSG00000045620,MGP_CASTEiJ_G0033856::ENSMUSG00000045620,MGP_NODShiLtJ_G0034650::ENSMUSG00000045620
ENSMUSG00000062154::ENSMUSG00000062154,MGP_129S1SvImJ_G0022040::ENSMUSG00000062154,MGP_C3HHeJ_G0021778::ENSMUSG00000062154,MGP_CASTEiJ_G0021299::ENSMUSG00000062154,MGP_NODShiLtJ_G0021870::ENSMUSG00000062154
ENSMUSG00000043331::ENSMUSG00000043331,MGP_129S1SvImJ_G0034653::ENSMUSG00000043331,MGP_C3HHeJ_G0034335::ENSMUSG00000043331,MGP_CASTEiJ_G0033657::ENSMUSG00000043331,MGP_NODShiLtJ_G0034452::ENSMUSG00000043331
ENSMUSG00000050050::ENSMUSG00000050050,MGP_129S1SvImJ_G0029755::ENSMUSG00000050050,MGP_C3HHeJ_G0029454::ENSMUSG00000050050,MGP_CASTEiJ_G0028864::ENSMUSG00000050050,MGP_NODShiLtJ_G0029556::ENSMUSG00000050050
ENSMUSG00000025287::ENSMUSG00000025287,MGP_129S1SvImJ_G0036212::ENSMUSG00000025287,MGP_C3HHeJ_G0035881::ENSMUSG00000025287,MGP_CASTEiJ_G0035169::ENSMUSG00000025287,MGP_NODShiLtJ_G0035985::ENSMUSG00000025287
ENSMUSG00000073722::ENSMUSG00000073722,MGP_129S1SvImJ_G0015893::ENSMUSG00000073722,MGP_C3HHeJ_G0015664::ENSMUSG00000073722,MGP_CASTEiJ_G0015243::ENSMUSG00000073722,MGP_NODShiLtJ_G0015759::ENSMUSG00000073722
ENSMUSG00000040407::ENSMUSG00000040407,MGP_129S1SvImJ_G0029266::ENSMUSG00000040407,MGP_C3HHeJ_G0028968::ENSMUSG00000040407,MGP_CASTEiJ_G0028381::ENSMUSG00000040407,MGP_NODShiLtJ_G0029069::ENSMUSG00000040407
ENSMUSG00000024999::ENSMUSG00000024999,MGP_129S1SvImJ_G0025094::ENSMUSG00000024999,MGP_C3HHeJ_G0024827::ENSMUSG00000024999,MGP_CASTEiJ_G0024294::ENSMUSG00000024999,MGP_NODShiLtJ_G0024928::ENSMUSG00000024999
ENSMUSG00000028675::ENSMUSG00000028675,MGP_129S1SvImJ_G0028951::ENSMUSG00000028675,MGP_C3HHeJ_G0028648::ENSMUSG00000028675,MGP_CASTEiJ_G0028080::ENSMUSG00000028675,MGP_NODShiLtJ_G0028755::ENSMUSG00000028675
ENSMUSG00000037089::ENSMUSG00000037089,MGP_129S1SvImJ_G0023792::ENSMUSG00000037089,MGP_C3HHeJ_G0023518::ENSMUSG00000037089,MGP_CASTEiJ_G0022999::ENSMUSG00000037089,MGP_NODShiLtJ_G0023616::ENSMUSG00000037089
ENSMUSG00000047842::ENSMUSG00000047842,MGP_129S1SvImJ_G0020556::ENSMUSG00000047842,MGP_C3HHeJ_G0020305::ENSMUSG00000047842,MGP_CASTEiJ_G0019819::ENSMUSG00000047842,MGP_NODShiLtJ_G0020396::ENSMUSG00000047842
ENSMUSG00000048537::ENSMUSG00000048537,MGP_129S1SvImJ_G0034716::ENSMUSG00000048537,MGP_C3HHeJ_G0034399::ENSMUSG00000048537,MGP_CASTEiJ_G0033721::ENSMUSG00000048537,MGP_NODShiLtJ_G0034515::ENSMUSG00000048537
ENSMUSG00000000903::ENSMUSG00000000903,MGP_129S1SvImJ_G0017373::ENSMUSG00000000903,MGP_C3HHeJ_G0017134::ENSMUSG00000000903,MGP_CASTEiJ_G0016705::ENSMUSG00000000903,MGP_NODShiLtJ_G0017232::ENSMUSG00000000903
ENSMUSG00000021493::ENSMUSG00000021493,MGP_129S1SvImJ_G0020600::ENSMUSG00000021493,MGP_C3HHeJ_G0020349::ENSMUSG00000021493,MGP_CASTEiJ_G0019863::ENSMUSG00000021493,MGP_NODShiLtJ_G0020440::ENSMUSG00000021493
ENSMUSG00000052783::ENSMUSG00000052783,MGP_129S1SvImJ_G0029470::ENSMUSG00000052783,MGP_C3HHeJ_G0029169::ENSMUSG00000052783,MGP_CASTEiJ_G0028578::ENSMUSG00000052783,MGP_NODShiLtJ_G0029274::ENSMUSG00000052783
ENSMUSG00000074635::ENSMUSG00000074635,MGP_129S1SvImJ_G0020972::ENSMUSG00000074635,MGP_C3HHeJ_G0020711::ENSMUSG00000074635,MGP_CASTEiJ_G0020230::ENSMUSG00000074635,MGP_NODShiLtJ_G0020808::ENSMUSG00000074635
ENSMUSG00000020267::ENSMUSG00000020267,MGP_129S1SvImJ_G0018320::ENSMUSG00000020267,MGP_C3HHeJ_G0018071::ENSMUSG00000020267,MGP_CASTEiJ_G0017636::ENSMUSG00000020267,MGP_NODShiLtJ_G0018173::ENSMUSG00000020267
ENSMUSG00000029869::ENSMUSG00000029869,MGP_129S1SvImJ_G0030630::ENSMUSG00000029869,MGP_C3HHeJ_G0030326::ENSMUSG00000029869,MGP_CASTEiJ_G0029730::ENSMUSG00000029869,MGP_NODShiLtJ_G0030436::ENSMUSG00000029869
ENSMUSG00000028807::ENSMUSG00000028807,MGP_129S1SvImJ_G0028821::ENSMUSG00000028807,MGP_C3HHeJ_G0028517::ENSMUSG00000028807,MGP_CASTEiJ_G0027950::ENSMUSG00000028807,MGP_NODShiLtJ_G0028625::ENSMUSG00000028807
ENSMUSG00000045744::ENSMUSG00000045744,MGP_129S1SvImJ_G0023303::ENSMUSG00000045744,MGP_C3HHeJ_G0023028::ENSMUSG00000045744,MGP_CASTEiJ_G0022530::ENSMUSG00000045744,MGP_NODShiLtJ_G0023122::ENSMUSG00000045744
ENSMUSG00000043962::ENSMUSG00000043962,MGP_129S1SvImJ_G0028774::ENSMUSG00000043962,MGP_C3HHeJ_G0028470::ENSMUSG00000043962,MGP_CASTEiJ_G0027903::ENSMUSG00000043962,MGP_NODShiLtJ_G0028578::ENSMUSG00000043962
ENSMUSG00000017737::ENSMUSG00000017737,MGP_129S1SvImJ_G0026883::ENSMUSG00000017737,MGP_C3HHeJ_G0026601::ENSMUSG00000017737,MGP_CASTEiJ_G0026059::ENSMUSG00000017737,MGP_NODShiLtJ_G0026701::ENSMUSG00000017737
ENSMUSG00000059824::ENSMUSG00000059824,MGP_129S1SvImJ_G0032241::ENSMUSG00000059824,MGP_C3HHeJ_G0031947::ENSMUSG00000059824,MGP_CASTEiJ_G0031276::ENSMUSG00000059824,MGP_NODShiLtJ_G0032058::ENSMUSG00000059824
ENSMUSG00000024680::ENSMUSG00000024680,MGP_129S1SvImJ_G0024879::ENSMUSG00000024680,MGP_C3HHeJ_G0024619::ENSMUSG00000024680,MGP_CASTEiJ_G0024092::ENSMUSG00000024680,MGP_NODShiLtJ_G0024714::ENSMUSG00000024680
ENSMUSG00000029096::ENSMUSG00000029096,MGP_129S1SvImJ_G0029482::ENSMUSG00000029096,MGP_C3HHeJ_G0029181::ENSMUSG00000029096,MGP_CASTEiJ_G0028590::ENSMUSG00000029096,MGP_NODShiLtJ_G0029286::ENSMUSG00000029096
ENSMUSG00000027371::ENSMUSG00000027371,MGP_129S1SvImJ_G0026460::ENSMUSG00000027371,MGP_C3HHeJ_G0026179::ENSMUSG00000027371,MGP_CASTEiJ_G0025640::ENSMUSG00000027371,MGP_NODShiLtJ_G0026277::ENSMUSG00000027371
ENSMUSG00000048540::ENSMUSG00000048540,MGP_129S1SvImJ_G0027679::ENSMUSG00000048540,MGP_C3HHeJ_G0027380::ENSMUSG00000048540,MGP_CASTEiJ_G0026836::ENSMUSG00000048540,MGP_NODShiLtJ_G0027496::ENSMUSG00000048540
ENSMUSG00000038323::ENSMUSG00000038323,MGP_129S1SvImJ_G0016039::ENSMUSG00000038323,MGP_C3HHeJ_G0015809::ENSMUSG00000038323,MGP_CASTEiJ_G0015391::ENSMUSG00000038323,MGP_NODShiLtJ_G0015904::ENSMUSG00000038323
ENSMUSG00000040740::ENSMUSG00000040740,MGP_129S1SvImJ_G0029052::ENSMUSG00000040740,MGP_C3HHeJ_G0028750::ENSMUSG00000040740,MGP_CASTEiJ_G0028182::ENSMUSG00000040740,MGP_NODShiLtJ_G0028857::ENSMUSG00000040740
ENSMUSG00000025931::ENSMUSG00000025931,MGP_129S1SvImJ_G0015873::ENSMUSG00000025931,MGP_C3HHeJ_G0015644::ENSMUSG00000025931,MGP_CASTEiJ_G0015225::ENSMUSG00000025931,MGP_NODShiLtJ_G0015739::ENSMUSG00000025931
ENSMUSG00000028522::ENSMUSG00000028522,MGP_129S1SvImJ_G0028505::ENSMUSG00000028522,MGP_C3HHeJ_G0028201::ENSMUSG00000028522,MGP_CASTEiJ_G0027637::ENSMUSG00000028522,MGP_NODShiLtJ_G0028312::ENSMUSG00000028522
ENSMUSG00000039001::ENSMUSG00000039001,MGP_129S1SvImJ_G0026990::ENSMUSG00000039001,MGP_C3HHeJ_G0026706::ENSMUSG00000039001,MGP_CASTEiJ_G0026165::ENSMUSG00000039001,MGP_NODShiLtJ_G0026806::ENSMUSG00000039001
ENSMUSG00000026028::ENSMUSG00000026028,MGP_129S1SvImJ_G0016059::ENSMUSG00000026028,MGP_C3HHeJ_G0015829::ENSMUSG00000026028,MGP_CASTEiJ_G0015411::ENSMUSG00000026028,MGP_NODShiLtJ_G0015924::ENSMUSG00000026028
ENSMUSG00000001786::ENSMUSG00000001786,MGP_129S1SvImJ_G0017607::ENSMUSG00000001786,MGP_C3HHeJ_G0017373::ENSMUSG00000001786,MGP_CASTEiJ_G0016939::ENSMUSG00000001786,MGP_NODShiLtJ_G0017470::ENSMUSG00000001786
ENSMUSG00000024617::ENSMUSG00000024617,MGP_129S1SvImJ_G0024471::ENSMUSG00000024617,MGP_C3HHeJ_G0024205::ENSMUSG00000024617,MGP_CASTEiJ_G0023678::ENSMUSG00000024617,MGP_NODShiLtJ_G0024300::ENSMUSG00000024617
ENSMUSG00000003279::ENSMUSG00000003279,MGP_129S1SvImJ_G0023999::ENSMUSG00000003279,MGP_C3HHeJ_G0023722::ENSMUSG00000003279,MGP_CASTEiJ_G0023203::ENSMUSG00000003279,MGP_NODShiLtJ_G0023820::ENSMUSG00000003279
ENSMUSG00000046387::ENSMUSG00000046387,MGP_129S1SvImJ_G0024325::ENSMUSG00000046387,MGP_C3HHeJ_G0024058::ENSMUSG00000046387,MGP_CASTEiJ_G0023534::ENSMUSG00000046387,MGP_NODShiLtJ_G0024155::ENSMUSG00000046387
ENSMUSG00000004951::ENSMUSG00000004951,MGP_129S1SvImJ_G0030192::ENSMUSG00000004951,MGP_C3HHeJ_G0029886::ENSMUSG00000004951,MGP_CASTEiJ_G0029296::ENSMUSG00000004951,MGP_NODShiLtJ_G0029994::ENSMUSG00000004951
ENSMUSG00000032077::ENSMUSG00000032077,MGP_129S1SvImJ_G0034753::ENSMUSG00000032077,MGP_C3HHeJ_G0034436::ENSMUSG00000032077,MGP_CASTEiJ_G0033758::ENSMUSG00000032077,MGP_NODShiLtJ_G0034552::ENSMUSG00000032077
ENSMUSG00000030122::ENSMUSG00000030122,MGP_129S1SvImJ_G0031277::ENSMUSG00000030122,MGP_C3HHeJ_G0030978::ENSMUSG00000030122,MGP_CASTEiJ_G0030359::ENSMUSG00000030122,MGP_NODShiLtJ_G0031083::ENSMUSG00000030122
ENSMUSG00000001494::ENSMUSG00000001494,MGP_129S1SvImJ_G0019214::ENSMUSG00000001494,MGP_C3HHeJ_G0018965::ENSMUSG00000001494,MGP_CASTEiJ_G0018519::ENSMUSG00000001494,MGP_NODShiLtJ_G0019067::ENSMUSG00000001494
ENSMUSG00000024947::ENSMUSG00000024947,MGP_129S1SvImJ_G0024759::ENSMUSG00000024947,MGP_C3HHeJ_G0024493::ENSMUSG00000024947,MGP_CASTEiJ_G0023965::ENSMUSG00000024947,MGP_NODShiLtJ_G0024587::ENSMUSG00000024947
ENSMUSG00000020077::ENSMUSG00000020077,MGP_129S1SvImJ_G0017300::ENSMUSG00000020077,MGP_C3HHeJ_G0017061::ENSMUSG00000020077,MGP_CASTEiJ_G0016632::ENSMUSG00000020077,MGP_NODShiLtJ_G0017160::ENSMUSG00000020077
ENSMUSG00000020876::ENSMUSG00000020876,MGP_129S1SvImJ_G0019011::ENSMUSG00000020876,MGP_C3HHeJ_G0018766::ENSMUSG00000020876,MGP_CASTEiJ_G0018319::ENSMUSG00000020876,MGP_NODShiLtJ_G0018861::ENSMUSG00000020876
ENSMUSG00000001054::ENSMUSG00000001054,MGP_129S1SvImJ_G0018271::ENSMUSG00000001054,MGP_C3HHeJ_G0018022::ENSMUSG00000001054,MGP_CASTEiJ_G0017586::ENSMUSG00000001054,MGP_NODShiLtJ_G0018122::ENSMUSG00000001054
ENSMUSG00000090356::ENSMUSG00000090356,MGP_129S1SvImJ_G0022657::ENSMUSG00000090356,MGP_C3HHeJ_G0022388::ENSMUSG00000090356,MGP_CASTEiJ_G0021918::ENSMUSG00000090356,MGP_NODShiLtJ_G0022487::ENSMUSG00000090356
ENSMUSG00000032112::ENSMUSG00000032112,MGP_129S1SvImJ_G0034707::ENSMUSG00000032112,MGP_C3HHeJ_G0034390::ENSMUSG00000032112,MGP_CASTEiJ_G0033712::ENSMUSG00000032112,MGP_NODShiLtJ_G0034506::ENSMUSG00000032112
ENSMUSG00000011349::ENSMUSG00000011349,MGP_129S1SvImJ_G0031845::ENSMUSG00000011349,MGP_C3HHeJ_G0031550::ENSMUSG00000011349,MGP_CASTEiJ_G0030890::ENSMUSG00000011349,MGP_NODShiLtJ_G0031659::ENSMUSG00000011349
ENSMUSG00000040412::ENSMUSG00000040412,MGP_129S1SvImJ_G0027778::ENSMUSG00000040412,MGP_C3HHeJ_G0027480::ENSMUSG00000040412,MGP_CASTEiJ_G0026936::ENSMUSG00000040412,MGP_NODShiLtJ_G0027595::ENSMUSG00000040412
ENSMUSG00000020783::ENSMUSG00000020783,MGP_129S1SvImJ_G0018650::ENSMUSG00000020783,MGP_C3HHeJ_G0018403::ENSMUSG00000020783,MGP_CASTEiJ_G0017958::ENSMUSG00000020783,MGP_NODShiLtJ_G0018498::ENSMUSG00000020783
ENSMUSG00000021257::ENSMUSG00000021257,MGP_129S1SvImJ_G0019972::ENSMUSG00000021257,MGP_C3HHeJ_G0019715::ENSMUSG00000021257,MGP_CASTEiJ_G0019265::ENSMUSG00000021257,MGP_NODShiLtJ_G0019826::ENSMUSG00000021257
ENSMUSG00000057554::ENSMUSG00000057554,MGP_129S1SvImJ_G0020231::ENSMUSG00000057554,MGP_C3HHeJ_G0019974::ENSMUSG00000057554,MGP_CASTEiJ_G0019512::ENSMUSG00000057554,MGP_NODShiLtJ_G0020079::ENSMUSG00000057554
ENSMUSG00000057156::ENSMUSG00000057156,MGP_129S1SvImJ_G0021325::ENSMUSG00000057156,MGP_C3HHeJ_G0021068::ENSMUSG00000057156,MGP_CASTEiJ_G0020587::ENSMUSG00000057156,MGP_NODShiLtJ_G0021162::ENSMUSG00000057156
ENSMUSG00000074754::ENSMUSG00000074754,MGP_129S1SvImJ_G0026590::ENSMUSG00000074754,MGP_C3HHeJ_G0026309::ENSMUSG00000074754,MGP_CASTEiJ_G0025770::ENSMUSG00000074754,MGP_NODShiLtJ_G0026407::ENSMUSG00000074754
ENSMUSG00000044162::ENSMUSG00000044162,MGP_129S1SvImJ_G0030832::ENSMUSG00000044162,MGP_C3HHeJ_G0030902::ENSMUSG00000044162,MGP_CASTEiJ_G0029922::ENSMUSG00000044162,MGP_NODShiLtJ_G0030637::ENSMUSG00000044162
ENSMUSG00000027695::ENSMUSG00000027695,MGP_129S1SvImJ_G0027114::ENSMUSG00000027695,MGP_C3HHeJ_G0026827::ENSMUSG00000027695,MGP_CASTEiJ_G0026282::ENSMUSG00000027695,MGP_NODShiLtJ_G0026928::ENSMUSG00000027695
ENSMUSG00000029635::ENSMUSG00000029635,MGP_129S1SvImJ_G0030375::ENSMUSG00000029635,MGP_C3HHeJ_G0030071::ENSMUSG00000029635,MGP_CASTEiJ_G0029473::ENSMUSG00000029635,MGP_NODShiLtJ_G0030183::ENSMUSG00000029635
ENSMUSG00000009633::ENSMUSG00000009633,MGP_129S1SvImJ_G0016963::ENSMUSG00000009633,MGP_C3HHeJ_G0016724::ENSMUSG00000009633,MGP_CASTEiJ_G0016307::ENSMUSG00000009633,MGP_NODShiLtJ_G0016832::ENSMUSG00000009633
ENSMUSG00000070284::ENSMUSG00000070284,MGP_129S1SvImJ_G0035282::ENSMUSG00000070284,MGP_C3HHeJ_G0034965::ENSMUSG00000070284,MGP_CASTEiJ_G0034276::ENSMUSG00000070284,MGP_NODShiLtJ_G0035081::ENSMUSG00000070284
ENSMUSG00000028057::ENSMUSG00000028057,MGP_129S1SvImJ_G0027407::ENSMUSG00000028057,MGP_C3HHeJ_G0027122::ENSMUSG00000028057,MGP_CASTEiJ_G0026568::ENSMUSG00000028057,MGP_NODShiLtJ_G0027222::ENSMUSG00000028057
ENSMUSG00000091619::ENSMUSG00000091619,MGP_129S1SvImJ_G0019568::ENSMUSG00000091619,MGP_C3HHeJ_G0019316::ENSMUSG00000091619,MGP_CASTEiJ_G0018871::ENSMUSG00000091619,MGP_NODShiLtJ_G0019424::ENSMUSG00000091619
ENSMUSG00000032047::ENSMUSG00000032047,MGP_129S1SvImJ_G0034813::ENSMUSG00000032047,MGP_C3HHeJ_G0034496::ENSMUSG00000032047,MGP_CASTEiJ_G0033818::ENSMUSG00000032047,MGP_NODShiLtJ_G0034611::ENSMUSG00000032047
ENSMUSG00000034039::ENSMUSG00000034039,MGP_129S1SvImJ_G0023351::ENSMUSG00000034039,MGP_C3HHeJ_G0023075::ENSMUSG00000034039,MGP_CASTEiJ_G0022577::ENSMUSG00000034039,MGP_NODShiLtJ_G0023169::ENSMUSG00000034039
ENSMUSG00000056698::ENSMUSG00000056698,MGP_129S1SvImJ_G0030880::ENSMUSG00000056698,MGP_C3HHeJ_G0030851::ENSMUSG00000056698,MGP_CASTEiJ_G0029969::ENSMUSG00000056698,MGP_NODShiLtJ_G0030688::ENSMUSG00000056698
ENSMUSG00000028992::ENSMUSG00000028992,MGP_129S1SvImJ_G0029140::ENSMUSG00000028992,MGP_C3HHeJ_G0028842::ENSMUSG00000028992,MGP_CASTEiJ_G0028255::ENSMUSG00000028992,MGP_NODShiLtJ_G0028944::ENSMUSG00000028992
ENSMUSG00000048400::ENSMUSG00000048400,MGP_129S1SvImJ_G0033989::ENSMUSG00000048400,MGP_C3HHeJ_G0033674::ENSMUSG00000048400,MGP_CASTEiJ_G0033006::ENSMUSG00000048400,MGP_NODShiLtJ_G0033793::ENSMUSG00000048400
ENSMUSG00000057777::ENSMUSG00000057777,MGP_129S1SvImJ_G0027355::ENSMUSG00000057777,MGP_C3HHeJ_G0027072::ENSMUSG00000057777,MGP_CASTEiJ_G0026519::ENSMUSG00000057777,MGP_NODShiLtJ_G0027170::ENSMUSG00000057777
ENSMUSG00000041360::ENSMUSG00000041360,MGP_129S1SvImJ_G0025009::ENSMUSG00000041360,MGP_C3HHeJ_G0024741::ENSMUSG00000041360,MGP_CASTEiJ_G0024211::ENSMUSG00000041360,MGP_NODShiLtJ_G0024840::ENSMUSG00000041360
ENSMUSG00000027303::ENSMUSG00000027303,MGP_129S1SvImJ_G0026506::ENSMUSG00000027303,MGP_C3HHeJ_G0026225::ENSMUSG00000027303,MGP_CASTEiJ_G0025686::ENSMUSG00000027303,MGP_NODShiLtJ_G0026323::ENSMUSG00000027303
ENSMUSG00000024122::ENSMUSG00000024122,MGP_129S1SvImJ_G0023288::ENSMUSG00000024122,MGP_C3HHeJ_G0023013::ENSMUSG00000024122,MGP_CASTEiJ_G0022515::ENSMUSG00000024122,MGP_NODShiLtJ_G0023107::ENSMUSG00000024122
ENSMUSG00000079592::ENSMUSG00000079592,MGP_129S1SvImJ_G0034692::ENSMUSG00000079592,MGP_C3HHeJ_G0034374::ENSMUSG00000079592,MGP_CASTEiJ_G0033697::ENSMUSG00000079592,MGP_NODShiLtJ_G0034490::ENSMUSG00000079592
ENSMUSG00000039067::ENSMUSG00000039067,MGP_129S1SvImJ_G0034103::ENSMUSG00000039067,MGP_C3HHeJ_G0033788::ENSMUSG00000039067,MGP_CASTEiJ_G0033115::ENSMUSG00000039067,MGP_NODShiLtJ_G0033906::ENSMUSG00000039067
ENSMUSG00000004591::ENSMUSG00000004591,MGP_129S1SvImJ_G0027948::ENSMUSG00000004591,MGP_C3HHeJ_G0027647::ENSMUSG00000004591,MGP_CASTEiJ_G0027103::ENSMUSG00000004591,MGP_NODShiLtJ_G0027762::ENSMUSG00000004591
ENSMUSG00000097565::ENSMUSG00000097565,MGP_129S1SvImJ_G0020714::ENSMUSG00000097565,MGP_C3HHeJ_G0020461::ENSMUSG00000097565,MGP_CASTEiJ_G0019980::ENSMUSG00000097565,MGP_NODShiLtJ_G0020553::ENSMUSG00000097565
ENSMUSG00000091625::ENSMUSG00000091625,MGP_129S1SvImJ_G0030779::ENSMUSG00000091625,MGP_C3HHeJ_G0030473::ENSMUSG00000091625,MGP_CASTEiJ_G0029876::ENSMUSG00000091625,MGP_NODShiLtJ_G0030583::ENSMUSG00000091625
ENSMUSG00000024349::ENSMUSG00000024349,MGP_129S1SvImJ_G0024270::ENSMUSG00000024349,MGP_C3HHeJ_G0024003::ENSMUSG00000024349,MGP_CASTEiJ_G0023478::ENSMUSG00000024349,MGP_NODShiLtJ_G0024098::ENSMUSG00000024349
ENSMUSG00000058755::ENSMUSG00000058755,MGP_129S1SvImJ_G0017980::ENSMUSG00000058755,MGP_C3HHeJ_G0017734::ENSMUSG00000058755,MGP_CASTEiJ_G0017296::ENSMUSG00000058755,MGP_NODShiLtJ_G0017837::ENSMUSG00000058755
ENSMUSG00000034486::ENSMUSG00000034486,MGP_129S1SvImJ_G0016291::ENSMUSG00000034486,MGP_C3HHeJ_G0016057::ENSMUSG00000034486,MGP_CASTEiJ_G0015642::ENSMUSG00000034486,MGP_NODShiLtJ_G0016160::ENSMUSG00000034486
ENSMUSG00000030894::ENSMUSG00000030894,MGP_129S1SvImJ_G0032764::ENSMUSG00000030894,MGP_C3HHeJ_G0032459::ENSMUSG00000030894,MGP_CASTEiJ_G0031789::ENSMUSG00000030894,MGP_NODShiLtJ_G0032571::ENSMUSG00000030894
ENSMUSG00000053113::ENSMUSG00000053113,MGP_129S1SvImJ_G0019459::ENSMUSG00000053113,MGP_C3HHeJ_G0019208::ENSMUSG00000053113,MGP_CASTEiJ_G0018762::ENSMUSG00000053113,MGP_NODShiLtJ_G0019316::ENSMUSG00000053113
ENSMUSG00000034292::ENSMUSG00000034292,MGP_129S1SvImJ_G0016311::ENSMUSG00000034292,MGP_C3HHeJ_G0016077::ENSMUSG00000034292,MGP_CASTEiJ_G0015662::ENSMUSG00000034292,MGP_NODShiLtJ_G0016180::ENSMUSG00000034292
ENSMUSG00000003418::ENSMUSG00000003418,MGP_129S1SvImJ_G0025358::ENSMUSG00000003418,MGP_C3HHeJ_G0025091::ENSMUSG00000003418,MGP_CASTEiJ_G0024554::ENSMUSG00000003418,MGP_NODShiLtJ_G0025196::ENSMUSG00000003418
ENSMUSG00000028646::ENSMUSG00000028646,MGP_129S1SvImJ_G0028746::ENSMUSG00000028646,MGP_C3HHeJ_G0028443::ENSMUSG00000028646,MGP_CASTEiJ_G0027875::ENSMUSG00000028646,MGP_NODShiLtJ_G0028550::ENSMUSG00000028646
ENSMUSG00000006763::ENSMUSG00000006763,MGP_129S1SvImJ_G0032267::ENSMUSG00000006763,MGP_C3HHeJ_G0031973::ENSMUSG00000006763,MGP_CASTEiJ_G0031301::ENSMUSG00000006763,MGP_NODShiLtJ_G0032084::ENSMUSG00000006763
ENSMUSG00000075376::ENSMUSG00000075376,MGP_129S1SvImJ_G0025693::ENSMUSG00000075376,MGP_C3HHeJ_G0025426::ENSMUSG00000075376,MGP_CASTEiJ_G0024889::ENSMUSG00000075376,MGP_NODShiLtJ_G0025530::ENSMUSG00000075376
ENSMUSG00000041570::ENSMUSG00000041570,MGP_129S1SvImJ_G0016540::ENSMUSG00000041570,MGP_C3HHeJ_G0016309::ENSMUSG00000041570,MGP_CASTEiJ_G0015889::ENSMUSG00000041570,MGP_NODShiLtJ_G0016412::ENSMUSG00000041570
